day,driving_us,transit_us,walking_us,cases_us,driving_korea,walking_korea,cases_korea,driving_newzealand,transit_newzealand,walking_newzealand,cases_newzealand
2020-01-22,103.01,101.06,97.04,1,112.78,100.02,1,109.24,103.93,106.95,0
2020-01-23,107.9,103.29,100.83,1,134.89,102.91,1,128.77,105.2,110.06,0
2020-01-24,124.7,113.06,126.67,2,132.5,103.55,2,115.17,101.16,112.21,0
2020-01-25,120.92,101.88,139.61,2,133.36,112.88,2,100.11,94.26,102.89,0
2020-01-26,87.32,81.35,89.9,5,119.25,105.85,3,103.33,99.81,94.75,0
2020-01-27,97.97,97.56,91.94,5,101.94,100.29,4,102.37,113.06,104.44,0
2020-01-28,101.54,97.08,93.97,5,97.54,103.57,4,102.63,109.23,103.34,0
2020-01-29,102.2,97.49,94.44,5,95.77,99.09,4,103.61,106.71,104.18,0
2020-01-30,107.61,100.72,99.96,5,104.55,109.83,4,110.78,112.72,105.46,0
2020-01-31,126.08,110.99,125.02,7,106.2,110.04,11,105.37,104.59,110.03,0
2020-02-01,122.32,103.42,140.8,8,83.78,87.13,12,91.13,94.57,94.23,0
2020-02-02,85.25,80.2,88.42,8,80.08,78.41,15,98.12,110.38,99.42,0
2020-02-03,98.86,96.48,92.42,11,80.06,79,15,108.51,110.14,110.2,0
2020-02-04,101.99,97.63,93.82,11,77.33,74.19,16,119.93,108.93,110.08,0
2020-02-05,101.77,98.26,94.52,11,76.93,69.37,19,100.48,102.24,97.64,0
2020-02-06,107.72,101.15,97.6,11,76.81,72.17,23,112.09,113.16,115.26,0
2020-02-07,124.07,110.91,122.23,11,85.16,83.12,24,107.56,104.44,109.69,0
2020-02-08,122.87,107.27,142.94,11,79.42,80.64,24,104.48,105.49,101.32,0
2020-02-09,91.58,84.2,92.83,11,79.03,77.53,25,104.59,116.46,109.78,0
2020-02-10,102.93,98.3,91.94,11,81.57,80.29,27,110.32,113.3,111.25,0
2020-02-11,106.75,100.64,96.13,12,80.72,76.27,28,112.65,114.25,113.32,0
2020-02-12,109.02,102.08,99.84,12,84.53,81.82,28,114.02,113.76,117.95,0
2020-02-13,118.36,106.67,108.3,13,85.16,84.33,28,135.42,118.54,127.72,0
2020-02-14,145.4,119.06,147.82,13,96.68,94.45,28,118.38,115.55,131.05,0
2020-02-15,132.51,107.77,158.55,13,83.25,78.61,28,103.9,108.84,115.87,0
