day,driving_brazil,transit_brazil,walking_brazil,cases_brazil,driving_us,transit_us,walking_us,cases_us,driving_korea,walking_korea,cases_korea,driving_italy,transit_italy,walking_italy,cases_italy,driving_newzealand,transit_newzealand,walking_newzealand,cases_newzealand
2020-01-22,97.91,106.12,102.28,0,103.01,101.06,97.04,1,112.78,100.02,1,106.67,100.05,105.19,0,109.24,103.93,106.95,0
2020-01-23,98.51,102.51,95.88,0,107.9,103.29,100.83,1,134.89,102.91,1,107.02,102.72,109.44,0,128.77,105.2,110.06,0
2020-01-24,109.53,99.99,104.74,0,124.7,113.06,126.67,2,132.5,103.55,2,119.01,107.54,126.34,0,115.17,101.16,112.21,0
2020-01-25,111.8,81.78,101.07,0,120.92,101.88,139.61,2,133.36,112.88,2,126.85,116.79,150.68,0,100.11,94.26,102.89,0
2020-01-26,88.93,70.41,69.38,0,87.32,81.35,89.9,5,119.25,105.85,3,109.51,110.36,111.59,0,103.33,99.81,94.75,0
2020-01-27,92.86,105.37,98.41,0,97.97,97.56,91.94,5,101.94,100.29,4,99.61,101.6,101.22,0,102.37,113.06,104.44,0
2020-01-28,95.19,110.46,102.94,0,101.54,97.08,93.97,5,97.54,103.57,4,102.59,101.95,104.22,0,102.63,109.23,103.34,0
2020-01-29,94.85,108.95,101.02,0,102.2,97.49,94.44,5,95.77,99.09,4,104.68,102.49,109.74,0,103.61,106.71,104.18,0
2020-01-30,96.31,103.38,100.51,0,107.61,100.72,99.96,5,104.55,109.83,4,105.67,100.8,110.64,0,110.78,112.72,105.46,0
2020-01-31,109.54,105.23,110.22,0,126.08,110.99,125.02,7,106.2,110.04,11,114.35,101.93,127.71,2,105.37,104.59,110.03,0
2020-02-01,109.56,84.27,95.63,0,122.32,103.42,140.8,8,83.78,87.13,12,125.55,107.43,149.16,2,91.13,94.57,94.23,0
2020-02-02,83.8,71.2,65.06,0,85.25,80.2,88.42,8,80.08,78.41,15,111.41,106.2,118.22,2,98.12,110.38,99.42,0
2020-02-03,92.5,111.64,97.15,0,98.86,96.48,92.42,11,80.06,79,15,100.52,98.79,108.19,2,108.51,110.14,110.2,0
2020-02-04,92.97,113.05,104.11,0,101.99,97.63,93.82,11,77.33,74.19,16,101.89,99.71,108.79,2,119.93,108.93,110.08,0
2020-02-05,93.75,111.42,103.31,0,101.77,98.26,94.52,11,76.93,69.37,19,103.77,98.91,108.09,2,100.48,102.24,97.64,0
2020-02-06,96.35,111.11,104.21,0,107.72,101.15,97.6,11,76.81,72.17,23,105.58,103.67,111.82,2,112.09,113.16,115.26,0
2020-02-07,114.55,116.13,120.32,0,124.07,110.91,122.23,11,85.16,83.12,24,119.19,114.12,131.64,3,107.56,104.44,109.69,0
2020-02-08,117.52,95.44,114.78,0,122.87,107.27,142.94,11,79.42,80.64,24,129.46,117.08,160.32,3,104.48,105.49,101.32,0
2020-02-09,86.93,74.79,70.93,0,91.58,84.2,92.83,11,79.03,77.53,25,117.1,113.16,118.67,3,104.59,116.46,109.78,0
2020-02-10,99.25,120.83,101.06,0,102.93,98.3,91.94,11,81.57,80.29,27,104.55,108.57,108.86,3,110.32,113.3,111.25,0
2020-02-11,95.71,116.59,106.71,0,106.75,100.64,96.13,12,80.72,76.27,28,108.02,109.4,117.98,3,112.65,114.25,113.32,0
2020-02-12,98.43,118.28,110.43,0,109.02,102.08,99.84,12,84.53,81.82,28,112.5,110.36,122.37,3,114.02,113.76,117.95,0
2020-02-13,98.92,113.61,113.33,0,118.36,106.67,108.3,13,85.16,84.33,28,116.51,117.55,132.34,3,135.42,118.54,127.72,0
2020-02-14,115.44,117.96,126.08,0,145.4,119.06,147.82,13,96.68,94.45,28,139.93,127.08,170.85,3,118.38,115.55,131.05,0
2020-02-15,123.46,109.7,135.5,0,132.51,107.77,158.55,13,83.25,78.61,28,145.29,130.72,194.34,3,103.9,108.84,115.87,0
2020-02-16,92.31,92.39,97.46,0,102.27,91.63,116.26,13,76.41,67.55,29,132.32,125.6,144.17,3,107.75,120.93,116.79,0
